"Part";"Value";"Device";"Package";"Description";"HOUSEPART";"LCSCPART#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"POPULATE";"PROD_ID";"SF_ID";"SPICEPREFIX";"URL";"VALUE";
"C46";"100pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C47";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C48";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"18";"";"";"";"C";"";"";
"C49";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C50";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C51";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C52";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C53";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C54";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C55";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C56";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C57";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C58";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C59";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C60";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C61";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"C62";"470nF - 50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"C";"";"";
"CONN1";"CON-USB-F-MICRO-B-2-SD-47589-001_ALIKE";"CON-USB-F-MICRO-B-2-SD-47589-001_ALIKE";"CON_USB_MICRO-B-3";"Micro USB based on molex SD-47589-001";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D2";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D3";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D4";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D5";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D6";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D7";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D8";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D9";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D10";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D11";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D12";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D13";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D14";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D15";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D16";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D17";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D18";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D19";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D20";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D21";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D22";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D23";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D24";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D25";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D26";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D27";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D28";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D29";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"D30";"CGRM4007-G";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"F1";"FUSESHK20L";"FUSESHK20L";"SHK20L";"Fuse";"";"";"";"";"unknown";"unknown";"2";"";"";"";"";"";"";
"IC2";"STM32F103VET";"STM32F103VET";"LQFP100";"ARM 32-bit Cortex™-M3 CPU";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"CON_TERMINAL_BLOCK_02-5MM";"CON_TERMINAL_BLOCK_02-5MM";"TERMINAL_BLOCK_2P_5";"2 poles wire to board terminal block";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"";"RJ45-HR911105A-HR911105A";"RJ45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"Power Jack Connector";"";"";"";"";"";"";"";"";"CONN-08197";"PRT-00119";"";"";"";
"JP1";"";"PINHD-2X17";"2X17";"PIN HEADER";"";"";"";"";"";"";"0";"";"";"";"";"";"";
"L1";"GZ2012D101TF";"L_0805";"L0805";"INDUCTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"26";"";"";"";"";"";"";
"LED2";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED3";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED4";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED5";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED6";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED7";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED8";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED9";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED10";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED11";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED12";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED13";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED14";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED15";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED16";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED17";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED18";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED19";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED20";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED21";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED22";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED23";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED24";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED25";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED26";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED27";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED28";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"LED29";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"17";"";"";"";"";"";"";
"OK1";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK2";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK3";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK4";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK5";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK6";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK7";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK8";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK9";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK10";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK11";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK12";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK13";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK14";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK15";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK16";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK17";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK18";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK19";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK20";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK21";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK22";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK23";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK24";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK25";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK26";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK27";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"OK28";"JC3H7C";"JC3H7C";"MINI-FLAT-4";"JC3H7C optocoupler";"";"C55287";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"25MHz";"KX-7";"3.2X2.5_KX-7";"Quartz Crystals (MHz) SMD:";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"S9012";"PNP-TRANSISTOR_SOT23";"SOT23";"PNP TRANSISTOR";"";"";"";"";"";"";"2";"";"";"";"";"";"";
"Q3";"8MHz";"KX-9B";"5.0X3.2_2";"Quartz Crystals (MHz) SMD:";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q4";"32.768KHz";"KX-327-NHT";"3.2X1.5";"Tuning Fork Crystals (kHz) SMD:";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q5";"12MHz";"KX-7";"3.2X2.5_KX-7";"Quartz Crystals (MHz) SMD:";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"6.2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"70";"";"";"";"R";"";"";
"R2";"510R";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R3";"390R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"70";"";"";"";"R";"";"";
"R4";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R5";"680 Ohm";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R6";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R7";"3K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R8";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R9";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R10";"33R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R11";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R12";"33R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R13";"1K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R14";"33R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R15";"680 Ohm";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R16";"33R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R17";"3K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R18";"1K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R19";"680 Ohm";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R20";"49R9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R21";"3K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R22";"49R9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R23";"1K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R24";"49R9";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R25";"680 Ohm";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R26";"330R";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R27";"3K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R28";"330R";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R29";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
